movie_id,genre_id
1,7
2,1
2,6
2,7
3,1
3,2
3,16
4,6
4,7
4,18
5,2
5,7
5,16
6,7
6,15
7,6
7,7
8,1
8,16
9,6
9,7
10,2
10,7
10,9
11,2
11,7
11,9
12,6
12,7
12,14
13,1
13,6
13,7
14,2
14,7
14,9
15,7
15,20
16,1
16,2
16,7
17,4
17,5
17,6
18,2
18,7
18,19
19,6
19,7
19,11
20,1
20,6
20,7
21,7
21,14
21,18
22,7
22,19
23,7
23,14
23,16
24,4
24,7
24,10
25,1
25,2
25,9
26,6
26,7
26,9
27,1
27,16
28,6
28,7
28,18
29,1
29,2
29,9
30,1
30,2
30,9
31,6
31,7
32,2
32,5
32,16
33,7
33,14
33,18
34,7
34,15
35,4
35,6
35,7
36,5
36,7
37,1
37,2
37,16
38,1
38,2
38,5
39,1
39,6
39,7
40,1
40,2
40,9
41,2
41,3
41,8
42,1
42,6
42,18
43,1
43,2
43,16
44,7
45,6
45,7
46,2
46,3
46,7
47,1
47,5
47,16
48,1
48,7
48,16
49,6
49,7
49,14
50,4
50,6
50,7
51,2
51,3
51,5
52,7
52,11
53,1
53,2
53,16
54,7
54,15
55,1
55,2
55,9
56,2
56,3
56,5
57,1
57,2
57,16
58,6
58,7
58,18
59,7
59,15
59,16
60,1
60,2
60,16
61,2
61,3
61,5
62,6
62,18
63,7
63,14
63,18
64,4
64,7
64,19
65,7
66,7
66,12
67,7
67,14
67,18
68,1
68,2
69,1
69,2
69,16
70,2
70,3
70,5
71,11
71,16
72,4
72,7
72,14
73,2
73,8
73,9
74,1
74,18
75,5
75,7
76,6
76,7
77,1
77,2
77,16
78,6
78,7
79,2
79,7
79,16
80,4
80,7
80,12
81,1
81,2
81,16
82,1
82,2
82,16
83,5
83,6
84,7
85,1
85,2
85,16
86,5
86,7
87,2
87,3
87,5
88,1
88,2
88,16
89,1
89,2
89,16
90,2
90,3
90,8
91,1
91,9
92,1
92,2
92,16
93,2
93,8
93,9
94,1
94,7
94,20
95,2
95,3
95,5
96,1
96,16
97,6
97,16
98,6
98,7
98,14
99,5
100,2
100,9
101,1
101,16
102,1
102,2
102,9
103,1
103,7
103,16
104,1
104,2
104,9
105,5
105,6
106,2
106,3
106,5
107,1
107,7
108,7
108,14
108,16
109,6
109,7
109,15
110,1
110,2
110,16
111,1
111,2
111,3
112,7
112,16
112,18
113,1
113,2
113,5
114,1
114,2
114,3
115,7
115,18
116,1
116,7
116,16
117,1
117,2
117,9
118,4
118,7
118,18
119,7
119,11
119,16
120,6
120,7
121,1
121,6
121,18
122,1
122,2
122,16
123,1
123,2
124,7
124,14
124,16
125,7
126,7
126,19
127,1
127,2
127,11
128,5
128,15
129,6
129,7
129,11
130,1
130,2
130,5
131,1
131,6
131,18
132,1
132,2
132,9
133,6
133,18
134,1
134,2
134,9
135,4
135,7
136,11
136,14
136,18
137,5
137,7
137,15
138,2
138,3
138,5
139,1
139,7
139,10
140,1
140,2
140,16
141,1
141,6
141,7
142,1
142,2
142,16
143,1
143,2
143,16
144,1
144,2
144,16
145,6
145,7
145,18
146,4
146,7
146,10
147,1
147,2
147,16
148,1
148,2
148,11
149,1
149,5
149,16
150,1
150,2
150,9
151,1
151,2
151,5
152,5
152,7
152,15
153,1
153,2
153,16
154,1
154,2
154,18
155,6
155,14
155,18
156,7
156,14
156,19
157,6
157,7
158,2
158,8
158,9
159,2
159,8
159,9
160,7
160,17
161,1
161,16
162,1
162,16
163,1
163,7
164,5
164,7
164,12
165,1
165,2
165,9
166,1
166,2
166,16
167,2
167,9
168,1
168,7
168,14
169,2
169,8
169,9
170,1
170,16
170,18
171,7
171,9
171,19
172,7
172,9
172,15
173,1
173,2
173,18
174,5
174,8
175,1
175,2
175,5
176,1
176,2
176,9
177,5
177,7
177,9
178,2
178,7
178,11
179,1
179,2
179,9
180,4
180,7
180,10
181,1
181,2
181,16
182,7
182,15
182,16
183,6
183,7
183,14
184,1
184,2
184,16
185,1
185,2
185,9
186,1
186,7
186,14
187,2
187,3
187,5
188,5
189,7
190,1
190,2
190,14
191,2
191,3
191,7
192,2
192,7
192,9
193,1
193,2
193,16
194,1
194,2
194,8
195,2
195,16
196,5
196,7
197,2
197,4
197,7
198,11
199,5
200,1
200,2
200,16
201,2
201,7
201,15
202,7
202,15
203,7
203,17
204,1
204,14
204,18
205,1
205,6
205,7
206,4
206,7
206,10
207,14
207,16
207,18
208,6
208,18
209,6
209,7
209,14
210,1
210,6
210,18
211,1
211,16
212,2
212,3
212,5
213,6
213,7
213,18
214,1
214,5
214,11
215,4
215,7
215,10
216,2
216,8
216,9
217,1
217,2
217,5
218,1
218,2
218,8
219,6
219,7
219,14
220,7
220,11
220,16
221,5
221,7
222,5
222,6
223,16
223,18
224,1
224,2
224,16
225,1
225,5
225,6
226,7
226,15
227,7
227,16
227,18
228,5
228,11
229,1
229,2
229,16
230,1
230,2
230,3
231,2
231,3
231,5
232,1
232,7
232,16
233,2
233,7
233,18
234,11
234,14
234,18
235,1
235,6
235,14
236,2
236,5
236,16
237,1
237,5
237,6
238,11
238,18
239,4
239,7
240,6
240,7
241,5
241,7
241,15
242,5
242,7
242,15
243,2
243,3
243,9
244,1
244,2
244,7
245,1
245,14
245,16
246,1
246,14
246,18
247,1
247,16
247,18
248,1
248,7
248,14
249,1
249,7
249,19
250,5
250,6
250,7
251,1
251,2
251,9
252,1
252,3
252,7
253,2
253,5
253,9
254,7
255,1
255,5
255,6
256,1
256,2
256,16
257,1
257,2
257,16
258,7
259,1
259,7
259,14
260,5
260,7
260,15
261,1
261,2
261,3
262,1
262,16
262,18
263,5
264,1
264,16
265,5
265,7
266,1
266,2
266,16
267,2
267,5
267,8
268,1
268,6
268,18
269,1
269,4
269,7
270,1
270,2
271,1
271,16
272,1
272,5
272,14
273,7
273,16
273,18
274,1
274,2
274,18
275,7
275,9
275,15
276,2
276,3
276,5
277,1
277,2
277,16
278,1
278,14
278,16
279,4
279,7
279,17
280,1
280,2
280,16
281,5
281,7
282,7
282,16
282,18
283,2
283,3
283,5
284,1
284,2
284,3
285,1
285,7
286,4
286,7
287,7
287,11
287,16
288,1
288,2
288,16
289,2
289,3
289,5
290,1
290,2
290,16
291,1
291,2
291,16
292,2
292,8
292,9
293,1
293,5
293,7
294,4
294,5
294,7
295,1
295,6
295,7
296,5
296,7
297,5
297,7
297,15
298,2
298,3
298,5
299,4
299,6
299,7
300,5
300,7
301,1
301,7
301,17
302,7
303,6
303,7
303,14
304,7
304,9
304,15
305,11
305,14
305,16
306,5
306,6
307,1
307,16
308,6
308,7
308,14
309,2
309,5
309,16
310,1
310,4
310,6
311,6
311,7
312,1
312,2
312,7
313,1
313,2
313,18
314,6
314,7
314,18
315,1
315,2
316,1
316,14
316,18
317,1
317,2
317,16
318,2
318,3
318,8
319,1
319,2
319,3
320,1
320,2
320,16
321,11
321,14
321,18
322,4
322,7
322,17
323,4
323,7
323,15
324,1
324,2
324,16
325,6
325,7
326,3
326,8
326,9
327,1
327,7
328,1
328,2
328,9
329,1
329,2
329,5
330,1
330,2
330,14
331,1
331,2
331,9
332,5
332,15
333,1
333,2
333,11
334,2
334,3
334,5
335,11
336,2
336,3
336,5
337,1
337,2
337,14
338,7
338,18
338,19
339,1
339,5
339,9
340,1
340,2
340,18
341,7
341,15
341,16
342,1
342,2
342,5
343,5
343,6
343,7
344,1
344,2
344,16
345,1
345,7
345,16
346,11
346,14
346,18
347,1
347,5
347,19
348,5
348,6
349,2
349,7
350,1
350,5
350,9
351,4
351,6
351,7
352,5
353,2
353,5
353,8
354,14
354,18
355,1
355,16
355,18
356,2
356,3
356,9
357,5
357,7
358,7
358,18
359,2
359,3
359,5
360,1
360,2
360,16
361,1
361,2
361,3
362,2
362,7
362,9
363,1
363,2
363,16
364,5
365,7
365,9
365,15
366,7
366,19
367,5
367,7
368,2
368,8
368,16
369,5
369,9
369,15
370,1
370,2
370,15
371,7
371,14
371,18
372,5
372,6
372,9
373,5
373,9
374,7
374,20
375,5
376,4
376,7
376,12
377,7
377,14
377,16
378,2
